Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
Airtel,Indoor,4G,3,Satisfactory,12.99850186,77.67243651,Karnataka
Vodafone,Indoor,4G,1,Call Dropped,23.55419,72.6201102,Gujarat
Airtel,Indoor,3G,1,Call Dropped,11.327329038,76.749743157,Tamil Nadu
Airtel,Indoor,Unknown,1,Poor Voice Quality,28.633156667,77.240873333,NCT
Airtel,Indoor,4G,3,Satisfactory,22.27966031,73.14936897,Gujarat
Idea,Outdoor,Unknown,2,Poor Voice Quality,28.5939686,76.2210076,Haryana
Airtel,Travelling,4G,3,Satisfactory,18.5463442,73.81909018,Maharashtra
Airtel,Travelling,4G,3,Satisfactory,18.5466271,73.8195324,Maharashtra
Airtel,Travelling,4G,5,Satisfactory,18.547528464,73.819105282,Maharashtra
Airtel,Travelling,4G,4,Satisfactory,18.547528464,73.819105282,Maharashtra
Airtel,Indoor,4G,5,Satisfactory,10.58310397,77.26359549,Tamil Nadu
RJio,Indoor,4G,5,Satisfactory,29.672815,77.0076626,Haryana
RJio,Indoor,4G,5,Satisfactory,28.5963135,77.0854149,NCT
RJio,Indoor,4G,4,Satisfactory,28.5963411,77.0854952,NCT
RJio,Indoor,4G,4,Satisfactory,28.5963411,77.0854952,NCT
RJio,Outdoor,4G,5,Satisfactory,31.520162308,75.291842906,Punjab
RJio,Outdoor,4G,4,Satisfactory,28.5963411,77.0854952,NCT
BSNL,Outdoor,3G,4,Satisfactory,13.0105591,77.66805832,Karnataka
BSNL,Outdoor,2G,5,Satisfactory,-1,-1,N/A-1
Airtel,Travelling,3G,5,Satisfactory,10.57992837,77.26036748,Tamil Nadu
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,N/A-1
RJio,Indoor,4G,1,Poor Voice Quality,-1,-1,N/A-1
Airtel,Travelling,4G,4,Satisfactory,18.547528464,73.819105282,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.07608642,72.86570152,Maharashtra
